"id","year","month","state_name","state_code","assembly_no","ac_name","ac_type","candidate_name","sex","age","candidate_type","party","position","ac_total_candidates","total_electors","total_votes","total_valid_votes","vote_share_percentage","margin","margin_percentage","turnout_percentage","poll_no","delimit_id"
149,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Mitta Narsing","MALE",42.0,"GEN","IND",13.0,18.0,225352.0,1178.0,168882.0,0.7,148.0,0.09,74.94,0.0,4.0
150,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Vyla Srinivas Reddy","MALE",38.0,"GEN","IND",14.0,18.0,225352.0,1030.0,168882.0,0.61,152.0,0.09,74.94,0.0,4.0
151,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Achaiah Kaduri","MALE",35.0,"GEN","IND",15.0,18.0,225352.0,878.0,168882.0,0.52,168.0,0.1,74.94,0.0,4.0
152,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Jannapala Maraiah","MALE",40.0,"SC","IND",16.0,18.0,225352.0,710.0,168882.0,0.42,6.0,0.0,74.94,0.0,4.0
153,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Tatikayala Mallaiah","MALE",50.0,"SC","IND",17.0,18.0,225352.0,704.0,168882.0,0.42,160.0,0.09,74.94,0.0,4.0
154,"2009","5","Andhra Pradesh","28",13.0,"Alair","GEN","Challuri Pochaiah","MALE",65.0,"SC","IND",18.0,18.0,225352.0,544.0,168882.0,0.32,0.0,0.0,74.94,0.0,4.0
155,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Abraham.V.M.","MALE",62.0,"SC","INC",1.0,20.0,188729.0,49722.0,129361.0,38.44,1183.0,0.91,68.54,0.0,4.0
156,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Prasanna Kumar. R","MALE",36.0,"SC","TDP",2.0,20.0,188729.0,48539.0,129361.0,37.52,33990.0,26.28,68.54,0.0,4.0
157,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Surupa Shobharani","FEMALE",36.0,"SC","PRAP",3.0,20.0,188729.0,14549.0,129361.0,11.25,12215.0,9.44,68.54,0.0,4.0
158,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Bangi Laxmanna","MALE",41.0,"SC","IND",4.0,20.0,188729.0,2334.0,129361.0,1.8,119.0,0.09,68.54,0.0,4.0
159,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Indira","FEMALE",56.0,"SC","BJP",5.0,20.0,188729.0,2215.0,129361.0,1.71,513.0,0.4,68.54,0.0,4.0
160,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Gaganam Sekhar Budagajangam","MALE",33.0,"SC","IND",6.0,20.0,188729.0,1702.0,129361.0,1.32,194.0,0.15,68.54,0.0,4.0
161,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Ravinder","MALE",31.0,"SC","IND",7.0,20.0,188729.0,1508.0,129361.0,1.17,152.0,0.12,68.54,0.0,4.0
162,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Gaddam Balaswamy","MALE",39.0,"SC","BSP",8.0,20.0,188729.0,1356.0,129361.0,1.05,387.0,0.3,68.54,0.0,4.0
163,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","T.Prasad Madiga","MALE",37.0,"SC","TPPP",9.0,20.0,188729.0,969.0,129361.0,0.75,3.0,0.0,68.54,0.0,4.0
164,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","D.Raju","MALE",30.0,"SC","PPOI",10.0,20.0,188729.0,966.0,129361.0,0.75,133.0,0.1,68.54,0.0,4.0
165,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","A.Maddilety Madiga","MALE",47.0,"SC","IND",11.0,20.0,188729.0,833.0,129361.0,0.64,44.0,0.03,68.54,0.0,4.0
166,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","P.Subbanna","MALE",55.0,"SC","IND",12.0,20.0,188729.0,789.0,129361.0,0.61,72.0,0.06,68.54,0.0,4.0
167,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","B.Swamulu","MALE",33.0,"SC","LSP",13.0,20.0,188729.0,717.0,129361.0,0.55,89.0,0.07,68.54,0.0,4.0
168,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","V.Dharma Raju","MALE",40.0,"SC","IND",14.0,20.0,188729.0,628.0,129361.0,0.49,83.0,0.06,68.54,0.0,4.0
169,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","M.Anjaneyulu","MALE",50.0,"SC","IND",15.0,20.0,188729.0,545.0,129361.0,0.42,36.0,0.03,68.54,0.0,4.0
170,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","A.Venkateshwarlu","MALE",30.0,"SC","IND",16.0,20.0,188729.0,509.0,129361.0,0.39,59.0,0.05,68.54,0.0,4.0
171,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Kashanna","MALE",55.0,"SC","IND",17.0,20.0,188729.0,450.0,129361.0,0.35,72.0,0.06,68.54,0.0,4.0
172,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Dr.H.Rukmanthaiah","MALE",32.0,"SC","IND",18.0,20.0,188729.0,378.0,129361.0,0.29,48.0,0.04,68.54,0.0,4.0
173,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Madanna","MALE",31.0,"SC","PRSHP",19.0,20.0,188729.0,330.0,129361.0,0.26,8.0,0.01,68.54,0.0,4.0
174,"2009","5","Andhra Pradesh","28",13.0,"Alampur","SC","Swamulu","MALE",26.0,"SC","JMBP",20.0,20.0,188729.0,322.0,129361.0,0.25,0.0,0.0,68.54,0.0,4.0
175,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","Bhuma Shobha Nagi Reddy","FEMALE",39.0,"GEN","PRAP",1.0,13.0,200691.0,61555.0,153847.0,40.01,1958.0,1.27,76.66,0.0,4.0
176,"2009","5","Andhra Pradesh","28",13.0,"Allagadda","GEN","Gangula Prathap Reddy","MALE",58.0,"GEN","INC",2.0,13.0,200691.0,59597.0,153847.0,38.74,35797.0,23.27,76.66,0.0,4.0
